user_id,group,device,pre_spend,converted,revenue
1,treatment,mobile,25.61450334458485,0,0.0
2,control,desktop,36.91734610474005,0,0.0
3,treatment,mobile,44.984729617015155,0,0.0
4,treatment,desktop,36.58183734840904,0,0.0
5,control,mobile,42.30610351610714,0,0.0
6,treatment,mobile,53.165360484889646,0,0.0
7,control,mobile,21.631270934109608,0,0.0
8,treatment,mobile,19.618598183530914,0,0.0
9,treatment,desktop,29.793915126008027,1,1.0948232201710881
10,treatment,desktop,53.741985925760396,0,0.0
11,control,desktop,84.42296190451287,0,0.0
12,treatment,mobile,82.98306108378769,0,0.0
13,treatment,desktop,47.906560142490164,1,6.461212421473405
14,treatment,desktop,61.55822889191504,0,0.0
15,treatment,desktop,43.769045536795225,0,0.0
16,treatment,mobile,37.625074441171115,0,0.0
17,treatment,desktop,24.128458785029956,0,0.0
18,control,mobile,1.1425282229431812,0,0.0
19,treatment,mobile,19.17595437964415,0,0.0
20,control,mobile,99.16609971790055,0,0.0
21,control,mobile,72.44002584088915,0,0.0
22,control,desktop,111.32685014999777,0,0.0
23,treatment,desktop,73.73570632856355,0,0.0
24,control,desktop,65.4890130941225,1,27.743520882907486
25,control,mobile,112.26588854302932,0,0.0
26,treatment,desktop,26.193823938636193,0,0.0
27,control,desktop,46.70187516503332,0,0.0
28,control,desktop,65.5606105610248,0,0.0
29,control,mobile,78.64995801371192,0,0.0
30,control,mobile,14.969967572105755,1,25.00845134400971
31,control,desktop,40.954370102518965,1,10.178715008883165
32,control,desktop,66.60190681045312,0,0.0
33,control,desktop,10.738655510941255,0,0.0
34,control,desktop,9.127405166565442,0,0.0
35,control,mobile,13.93257396819295,0,0.0
36,treatment,desktop,22.843916020824334,0,0.0
37,control,mobile,20.338328365382555,0,0.0
38,control,mobile,37.54698190786909,0,0.0
39,control,mobile,28.83363681637105,0,0.0
40,control,mobile,15.563706167107567,0,0.0
41,control,desktop,73.57281893554286,0,0.0
42,control,desktop,49.54875176606703,0,0.0
43,treatment,mobile,79.37722249362555,0,0.0
44,control,desktop,65.53486843814889,1,6.008490570796859
45,treatment,desktop,10.501408714381459,0,0.0
46,control,mobile,15.285431423430955,0,0.0
47,treatment,mobile,28.59827631072347,0,0.0
48,treatment,mobile,14.387787855796688,0,0.0
49,treatment,mobile,54.4691959601149,0,0.0
50,control,desktop,39.615811778137974,0,0.0
51,treatment,desktop,57.87136077441653,0,0.0
52,control,mobile,44.14527766860221,0,0.0
53,control,desktop,49.21417423752494,0,0.0
54,control,mobile,22.50950111879082,0,0.0
55,control,mobile,30.223695586394733,0,0.0
56,treatment,mobile,7.099066771425252,0,0.0
57,control,mobile,8.633915359741577,0,0.0
58,control,desktop,34.16877616279896,0,0.0
59,control,mobile,4.20141666792264,0,0.0
60,treatment,desktop,6.724825004062986,0,0.0
61,control,mobile,19.01239259051384,0,0.0
62,control,mobile,60.36215499076093,0,0.0
63,treatment,desktop,12.251541555689059,0,0.0
64,control,desktop,70.14414836118098,1,58.496865607806924
65,control,desktop,87.57334633479458,0,0.0
66,treatment,desktop,10.31756308546938,0,0.0
67,treatment,desktop,20.208785423135552,0,0.0
68,control,mobile,16.081796286583128,1,102.98012167524114
69,treatment,mobile,80.70849180323788,0,0.0
70,control,desktop,24.899581841141533,0,0.0
71,treatment,desktop,55.842868404680814,0,0.0
72,treatment,desktop,25.997694451704238,0,0.0
73,control,mobile,34.32862207755913,1,175.79411595806633
74,treatment,desktop,33.87776226725276,0,0.0
75,treatment,mobile,21.667279932846483,0,0.0
76,treatment,mobile,36.04309817396413,0,0.0
77,control,desktop,24.72432195540126,0,0.0
78,treatment,desktop,19.330725410356674,0,0.0
79,control,desktop,60.67057318116614,0,0.0
80,treatment,mobile,14.880010988302718,0,0.0
81,treatment,mobile,61.37952139497416,0,0.0
82,control,desktop,36.25076950323529,0,0.0
83,treatment,mobile,48.15991721476024,0,0.0
84,treatment,mobile,28.13727918054987,0,0.0
85,control,desktop,29.852425857260446,0,0.0
86,control,mobile,2.957002051075175,0,0.0
87,control,mobile,5.853950664965741,0,0.0
88,control,mobile,22.845697157729774,1,73.54297805887433
89,control,desktop,51.538609676744414,0,0.0
90,control,desktop,11.784439560096436,0,0.0
91,control,desktop,35.134481192675835,0,0.0
92,control,desktop,30.87161625289227,0,0.0
93,treatment,desktop,18.370519970320288,0,0.0
94,treatment,mobile,47.02049853299013,0,0.0
95,control,mobile,75.69550566032481,1,28.159041484648146
96,control,mobile,8.39475888345741,0,0.0
97,treatment,mobile,21.313610519283344,0,0.0
98,treatment,mobile,16.122515081989974,0,0.0
99,treatment,mobile,35.134893462680864,1,38.46805152461318
100,treatment,mobile,41.26355730145502,0,0.0
101,control,desktop,32.33580242938932,0,0.0
102,treatment,mobile,85.85725969240771,1,37.73447059845961
103,treatment,desktop,39.305838545918334,0,0.0
104,control,mobile,35.7949804157233,0,0.0
105,control,mobile,33.837881539324115,1,27.57552225957926
106,control,mobile,14.818817460573442,0,0.0
107,treatment,mobile,2.559320846400392,0,0.0
108,control,desktop,37.08968408703976,0,0.0
109,control,desktop,66.8881038081294,0,0.0
110,treatment,desktop,173.07021654127257,0,0.0
111,control,desktop,11.200574605715785,0,0.0
